benchmark,time,precison,recall,f-measure,truePositive,falsePositive,falseNegative
SPIMBENCH,1.3518,0.4400,0.6290,0.5180,188,239,111
SPIMBENCH,1.3252,0.4400,0.6290,0.5180,188,239,111
SPIMBENCH,1.3134,0.0000,0.0000,0.0000,0,0,299
SPIMBENCH,1.3103,0.4400,0.6290,0.5180,188,239,111
SPIMBENCH,1.3555,0.4400,0.6290,0.5180,188,239,111
SPIMBENCH,1.7418,0.4400,0.6290,0.5180,188,239,111
SPIMBENCH,87.2556,0.4440,0.6820,0.5380,204,255,95
SPIMBENCH,1.9755,0.4590,1.0000,0.6290,299,352,0
SPIMBENCH,1.6697,0.4590,1.0000,0.6290,299,352,0
SPIMBENCH,1.4125,0.4590,1.0000,0.6290,299,352,0
SPIMBENCH,3.1400,0.0000,0.0000,0.0000,0,0,299
SPIMBENCH,1.4070,0.0000,0.0000,0.0000,0,0,299
SPIMBENCH,1.4155,0.4400,0.6290,0.5180,188,239,111
SPIMBENCH,8.2466,0.4440,0.6820,0.5380,204,255,95
SPIMBENCH,9.2144,0.4440,0.6820,0.5380,204,255,95
SPIMBENCH,8.3620,0.4510,0.7890,0.5740,236,287,63
